start,end,name
649.7,650.2,PostStimSilence
650.69,656.191,TRIAL
650.69,656.19,STIM_00Oxford_male2b.wav
650.69,656.19,REFERENCE
650.69,652.69,PreStimSilence
655.69,656.19,PostStimSilence
656.64,662.141,TRIAL
656.64,662.14,STIM_Running_Breathing.wav
656.64,662.14,REFERENCE
656.64,658.64,PreStimSilence
661.64,662.14,PostStimSilence
662.65,668.151,TRIAL
662.65,668.15,STIM_kayser_snort.wav
662.65,668.15,REFERENCE
662.65,664.65,PreStimSilence
667.65,668.15,PostStimSilence
668.55,674.0509999999999,TRIAL
668.55,674.05,STIM_si2077.wav
668.55,674.05,REFERENCE
668.55,670.55,PreStimSilence
673.55,674.05,PostStimSilence
674.72,680.221,TRIAL
674.72,680.22,STIM_LBHB_lick.wav
674.72,680.22,REFERENCE
674.72,676.72,PreStimSilence
679.72,680.22,PostStimSilence
680.67,686.1709999999999,TRIAL
680.67,686.17,STIM_LBHB_food2.wav
680.67,686.17,REFERENCE
680.67,682.67,PreStimSilence
685.67,686.17,PostStimSilence
687.32,692.821,TRIAL
687.32,692.82,"STIM_ESE-23_Sparrows_-_Large_excited_group,.wav"
687.32,692.82,REFERENCE
687.32,689.32,PreStimSilence
692.32,692.82,PostStimSilence
693.33,698.831,TRIAL
693.33,698.83,STIM_ferretmixed03.wav
693.33,698.83,REFERENCE
693.33,695.33,PreStimSilence
698.33,698.83,PostStimSilence
699.32,704.821,TRIAL
699.32,704.82,STIM_SE1-27_Pile_Driver.wav
699.32,704.82,REFERENCE
699.32,701.32,PreStimSilence
704.32,704.82,PostStimSilence
705.29,710.7909999999999,TRIAL
705.29,710.79,STIM_SoundBible_barrded_owl.wav
705.29,710.79,REFERENCE
705.29,707.29,PreStimSilence
710.29,710.79,PostStimSilence
711.24,716.741,TRIAL
711.24,716.74,STIM_SoundBible_birds.wav
711.24,716.74,REFERENCE
711.24,713.24,PreStimSilence
716.24,716.74,PostStimSilence
717.34,722.841,TRIAL
717.34,722.84,STIM_si1230.wav
717.34,722.84,REFERENCE
717.34,719.34,PreStimSilence
722.34,722.84,PostStimSilence
723.76,729.261,TRIAL
723.76,729.26,STIM_00ferretmixed42.wav
723.76,729.26,REFERENCE
723.76,725.76,PreStimSilence
728.76,729.26,PostStimSilence
729.67,735.1709999999999,TRIAL
729.67,735.17,STIM_ferretmixed30.wav
729.67,735.17,REFERENCE
729.67,731.67,PreStimSilence
734.67,735.17,PostStimSilence
735.66,741.161,TRIAL
735.66,741.16,STIM_LBHB_stairs2.wav
735.66,741.16,REFERENCE
735.66,737.66,PreStimSilence
740.66,741.16,PostStimSilence
741.79,747.2909999999999,TRIAL
741.79,747.29,STIM_SE2-56_Rattlesnake.wav
741.79,747.29,REFERENCE
741.79,743.79,PreStimSilence
746.79,747.29,PostStimSilence
747.88,753.381,TRIAL
747.88,753.38,STIM_00Oxford_male2b.wav
747.88,753.38,REFERENCE
747.88,749.88,PreStimSilence
752.88,753.38,PostStimSilence
753.78,759.281,TRIAL
753.78,759.28,STIM_si464.wav
753.78,759.28,REFERENCE
753.78,755.78,PreStimSilence
758.78,759.28,PostStimSilence
759.66,765.161,TRIAL
759.66,765.16,STIM_Music-Disco_Circus.wav
759.66,765.16,REFERENCE
759.66,761.66,PreStimSilence
764.66,765.16,PostStimSilence
765.65,771.151,TRIAL
765.65,771.15,STIM_kayser_squawk.wav
765.65,771.15,REFERENCE
765.65,767.65,PreStimSilence
770.65,771.15,PostStimSilence
771.65,777.151,TRIAL
771.65,777.15,STIM_00ferretmixed42.wav
771.65,777.15,REFERENCE
771.65,773.65,PreStimSilence
776.65,777.15,PostStimSilence
777.58,783.081,TRIAL
777.58,783.08,STIM_ross_bird_chorus60_pt1.wav
777.58,783.08,REFERENCE
777.58,779.58,PreStimSilence
782.58,783.08,PostStimSilence
783.59,789.091,TRIAL
783.59,789.09,STIM_SE2-17_Wild_Dogs.wav
783.59,789.09,REFERENCE
783.59,785.59,PreStimSilence
788.59,789.09,PostStimSilence
789.62,795.121,TRIAL
789.62,795.12,STIM_Castanets_steady.wav
789.62,795.12,REFERENCE
789.62,791.62,PreStimSilence
794.62,795.12,PostStimSilence
795.69,801.191,TRIAL
795.69,801.19,STIM_si1377.wav
795.69,801.19,REFERENCE
795.69,797.69,PreStimSilence
800.69,801.19,PostStimSilence
801.66,807.161,TRIAL
801.66,807.16,STIM_ASE-53_Electric_Grinding_Wheel.wav
801.66,807.16,REFERENCE
801.66,803.66,PreStimSilence
806.66,807.16,PostStimSilence
807.65,813.151,TRIAL
807.65,813.15,STIM_Running_Breathing.wav
807.65,813.15,REFERENCE
807.65,809.65,PreStimSilence
812.65,813.15,PostStimSilence
813.66,819.161,TRIAL
813.66,819.16,STIM_corkscrew_against_desk_edge.wav
813.66,819.16,REFERENCE
813.66,815.66,PreStimSilence
818.66,819.16,PostStimSilence
819.67,825.1709999999999,TRIAL
819.67,825.17,STIM_SoundBible_racoon_cow.wav
819.67,825.17,REFERENCE
819.67,821.67,PreStimSilence
824.67,825.17,PostStimSilence
825.66,831.161,TRIAL
825.66,831.16,STIM_ESE-25_Chickens_-_Alarmed_squawking.wav
825.66,831.16,REFERENCE
825.66,827.66,PreStimSilence
830.66,831.16,PostStimSilence
831.62,837.121,TRIAL
831.62,837.12,STIM_ESE-40_On_board_motor_boat.wav
831.62,837.12,REFERENCE
831.62,833.62,PreStimSilence
836.62,837.12,PostStimSilence
837.63,843.131,TRIAL
837.63,843.13,STIM_kayser_thunder.wav
837.63,843.13,REFERENCE
837.63,839.63,PreStimSilence
842.63,843.13,PostStimSilence
844.2,849.701,TRIAL
844.2,849.7,STIM_fire.wav
844.2,849.7,REFERENCE
844.2,846.2,PreStimSilence
849.2,849.7,PostStimSilence
850.28,855.781,TRIAL
850.28,855.78,STIM_00Oxford_male2b.wav
850.28,855.78,REFERENCE
850.28,852.28,PreStimSilence
855.28,855.78,PostStimSilence
856.22,861.721,TRIAL
856.22,861.72,STIM_ESE-68_Church_bells.wav
856.22,861.72,REFERENCE
856.22,858.22,PreStimSilence
861.22,861.72,PostStimSilence
862.22,867.721,TRIAL
862.22,867.72,STIM_00ferretmixed41.wav
862.22,867.72,REFERENCE
862.22,864.22,PreStimSilence
